institution_name,region,city,category,priority,collection_phase,exhibition_url,program_url,notes
국립중앙박물관,서울,용산구,박물관,1,phase1,https://www.museum.go.kr/MUSEUM/contents/M0202010000.do?menuId=current,,현재 전시와 예정 전시 페이지가 분리되어 있어 1차 수집 대상으로 적합
국립현대미술관 서울관,서울,종로구,미술관,1,phase1,https://www.mmca.go.kr/exhibitions/progressList.do,,서울·과천·덕수궁 전시가 통합 페이지에 노출됨
국립현대미술관 과천관,경기,과천시,미술관,1,phase1,https://www.mmca.go.kr/exhibitions/progressList.do,,수도권 가족 나들이 후보로 중요
국립현대미술관 덕수궁관,서울,중구,미술관,1,phase1,https://www.mmca.go.kr/exhibitions/progressList.do,,서울 중심부 접근성이 좋아 추천 가치가 높음
서울시립미술관,서울,중구,미술관,1,phase1,https://sema.seoul.go.kr/kr/whatson/landing,https://sema.seoul.go.kr/kr/whatson/landing,전시와 교육 프로그램이 한 화면에서 함께 검색됨
리움미술관,서울,용산구,미술관,1,phase1,https://www.leeumhoam.org/leeum/exhibition,https://www.leeumhoam.org/leeum/program,현재 전시 정보가 비교적 간결함
서울공예박물관,서울,종로구,박물관,1,phase1,https://craftmuseum.seoul.go.kr/main,,공예·디자인 관심사와 잘 맞음
국립민속박물관,서울,종로구,박물관,2,phase2,https://www.nfm.go.kr/,,전시와 교육 프로그램이 모두 풍부함
국립한글박물관,서울,용산구,박물관,2,phase2,https://www.hangeul.go.kr/,,언어·디자인·어린이 프로그램 관심사와 잘 맞음
서울역사박물관,서울,종로구,박물관,2,phase2,https://museum.seoul.go.kr/,,서울 역사·도시문화 전시 후보
한성백제박물관,서울,송파구,박물관,2,phase2,https://baekjemuseum.seoul.go.kr/,,고대사·역사 관심사 후보
전쟁기념관,서울,용산구,박물관,2,phase2,https://www.warmemo.or.kr/,,근현대사·군사사 관심사 후보
예술의전당 한가람미술관/디자인미술관,서울,서초구,복합문화공간,2,phase2,https://www.sac.or.kr/site/main/program/schedule?tab=3,,대형 기획전이 자주 열림
일민미술관,서울,종로구,미술관,3,phase3,https://ilmin.org/,,현대미술 기획전 후보
아르코미술관,서울,종로구,미술관,3,phase3,https://www.arko.or.kr/artcenter/,,"현대미술, 퍼포먼스, 공공예술 후보"
디뮤지엄,서울,성동구,미술관,3,phase3,https://www.daelimmuseum.org/,,대중적 사진·디자인 전시 후보
경기도미술관,경기,안산시,미술관,1,phase2,https://gmoma.ggcf.kr/,,경기권 공립 미술관 핵심 후보
경기도박물관,경기,용인시,박물관,2,phase2,https://musenet.ggcf.kr/,,역사·문화유산 전시 후보
백남준아트센터,경기,용인시,미술관,2,phase2,https://njp.ggcf.kr/,,미디어아트 관심사와 잘 맞음
수원시립미술관,경기,수원시,미술관,2,phase2,https://suma.suwon.go.kr/,,수원·경기남부 전시 후보
실학박물관,경기,남양주시,박물관,3,phase3,https://silhak.ggcf.kr/,,조선 후기·실학·역사 관심사 후보
호암미술관,경기,용인시,미술관,3,phase3,https://www.leeumhoam.org/hoam/exhibition,,전통미술·정원 관람 후보
인천아트플랫폼,인천,중구,복합문화공간,2,phase2,https://inartplatform.kr/program/list?category=B&time=now,https://inartplatform.kr/program/list?category=E,전시 외 교육/행사까지 확장 가능
인천광역시립박물관,인천,연수구,박물관,2,phase2,https://www.incheon.go.kr/museum,,인천 시립박물관 계열의 중심
송암미술관,인천,미추홀구,미술관,3,phase3,https://www.incheon.go.kr/museum,,인천광역시립박물관 계열
인천도시역사관,인천,연수구,박물관,3,phase3,https://www.incheon.go.kr/museum,,도시사·인천 지역사 후보
한국이민사박물관,인천,중구,박물관,3,phase3,https://www.incheon.go.kr/museum,,이민사·근현대사 관심사 후보
국립인천해양박물관,인천,중구,박물관,2,phase2,https://www.inmm.or.kr/,,해양사·가족 관람 후보
