institution_name,region,city,category,tier,official_url,notes
퐁피두센터 한화 서울,서울,영등포구,미술관,A,https://www.centrepompidou-hanwha.kr/,2026년 신규 개관 전용 수집기
김종영미술관,서울,종로구,미술관,A,http://kimchongyung.com/,현재·예정 전시 전용 수집기
한원미술관,서울,서초구,미술관,A,http://www.hanwon.org/,현재 전시 전용 수집기
마이아트뮤지엄,서울,강남구,민간전시공간,A,http://myartmuseum.co.kr/,현재·예정 전시 전용 수집기
송은,서울,강남구,민간전시공간,A,https://www.songeun.or.kr/,현재·예정 전시 전용 수집기
서울시립 사진미술관,서울,도봉구,미술관,A,https://sema.seoul.go.kr/,서울시립미술관 통합 수집기 분관 인식
서울시립 서서울미술관,서울,금천구,미술관,A,https://sema.seoul.go.kr/,서울시립미술관 통합 수집기 분관 인식
국립중앙박물관,서울,용산구,박물관,A,https://www.museum.go.kr/,이미 수집기 적용
국립현대미술관 서울관,서울,종로구,미술관,A,https://www.mmca.go.kr/,통합 전시 페이지 확인 필요
국립현대미술관 덕수궁관,서울,중구,미술관,A,https://www.mmca.go.kr/,통합 전시 페이지 확인 필요
서울시립미술관 서소문본관,서울,중구,미술관,A,https://sema.seoul.go.kr/,이미 서울시립미술관 통합 수집기 적용
서울시립 북서울미술관,서울,노원구,미술관,A,https://sema.seoul.go.kr/,서울시립미술관 계열
서울시립 남서울미술관,서울,관악구,미술관,A,https://sema.seoul.go.kr/,서울시립미술관 계열
서울시립 미술아카이브,서울,종로구,미술관,A,https://sema.seoul.go.kr/,서울시립미술관 계열
SeMA 백남준기념관,서울,종로구,미술관,B,https://sema.seoul.go.kr/,서울시립미술관 계열
서울공예박물관,서울,종로구,박물관,A,https://craftmuseum.seoul.go.kr/,이미 수집기 적용
서울역사박물관,서울,종로구,박물관,A,https://museum.seoul.go.kr/,전시/교육 모두 중요
서울생활사박물관,서울,노원구,박물관,B,https://museum.seoul.go.kr/,서울역사박물관 계열
청계천박물관,서울,성동구,박물관,B,https://museum.seoul.go.kr/,서울역사박물관 계열
한양도성박물관,서울,종로구,박물관,B,https://museum.seoul.go.kr/,서울역사박물관 계열
경희궁,서울,종로구,역사문화공간,C,https://museum.seoul.go.kr/,서울역사박물관 계열 전시 여부 확인
한성백제박물관,서울,송파구,박물관,A,https://baekjemuseum.seoul.go.kr/,역사 전시 후보
몽촌역사관,서울,송파구,박물관,B,https://baekjemuseum.seoul.go.kr/,한성백제박물관 계열
국립민속박물관,서울,종로구,박물관,A,https://www.nfm.go.kr/,전시/교육 풍부
